Model,Systematic Sample 500,Cluster Sample 1000,Systematic Sample 1500,Cluster Sample 2000,Cluster Sample 2500
Logistic Regression,0.93,0.9349593495934959,0.94,0.8699186991869918,0.975609756097561
Gradient Boosting,0.98,0.959349593495935,0.99,0.991869918699187,1.0
K-Nearest Neighbors,0.78,0.8861788617886179,0.86,0.9105691056910569,0.8292682926829268
Decision Tree,0.97,0.9512195121951219,0.9733333333333334,0.975609756097561,0.959349593495935
Naive Bayes,0.89,0.9024390243902439,0.87,0.8536585365853658,0.8455284552845529
